"ID","Question","Category","Response","Keywords","Examples","Date","Status"
"135","""What is the company's leave policy?""","""Employee Benefits""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Request time off,Leave request form,Employee portal""","""Can I work from home?""","""2022-06-06""","""VALIDATE"""
"136","""What benefits does the company offer?""","""Remote Work""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Performance reviews,Annual review,HR procedures""","""Where can I find my pay stubs online?""","""2020-10-31""","""TRAIN"""
"137","""What benefits does the company offer?""","""Employment Verification""","""To request time off, please submit a leave request form through the employee portal.""","""IT support,Helpdesk,Contact IT""","""How do I submit a leave request?""","""2021-11-13""","""TRAIN"""
"138","""What is the company's leave policy?""","""Employee Benefits""","""You can access your pay stubs through the payroll section of the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""Where can I find my pay stubs online?""","""2024-05-19""","""TEST"""
"139","""How do I access my pay stubs?""","""Pay Stubs""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Request time off,Leave request form,Employee portal""","""How do I report harassment?""","""2024-01-26""","""VALIDATE"""
"140","""How can I update my personal information?""","""Workplace Harassment""","""To request an employment verification letter, please contact HR with your request.""","""Remote work,Eligibility,Manager consultation""","""What are the employee perks?""","""2023-01-02""","""VALIDATE"""
"141","""How do I request a copy of my employment verification?""","""Workplace Harassment""","""To request time off, please submit a leave request form through the employee portal.""","""Performance reviews,Annual review,HR procedures""","""How do I report harassment?""","""2021-08-15""","""TEST"""
"142","""What is the procedure for performance reviews?""","""IT Support""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Performance reviews,Annual review,HR procedures""","""What are the employee perks?""","""2023-03-15""","""TRAIN"""
"143","""How can I request time off?""","""Personal Information""","""To request an employment verification letter, please contact HR with your request.""","""Remote work,Eligibility,Manager consultation""","""How do I change my address in the system?""","""2023-05-19""","""TEST"""
"144","""What is the procedure for performance reviews?""","""Performance Reviews""","""You can access your pay stubs through the payroll section of the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""How do I report harassment?""","""2021-10-07""","""VALIDATE"""
"145","""How can I request time off?""","""Employment Verification""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employee benefits,Health insurance,Retirement plans""","""Can I work from home?""","""2021-05-22""","""TEST"""
"146","""What benefits does the company offer?""","""Pay Stubs""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employment verification,HR request,Employment letter""","""What is annual leave?""","""2020-05-27""","""VALIDATE"""
"147","""How do I request a copy of my employment verification?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Remote work,Eligibility,Manager consultation""","""How can I get an employment verification letter?""","""2020-10-03""","""VALIDATE"""
"148","""What is the procedure for performance reviews?""","""Leave Policy""","""To request an employment verification letter, please contact HR with your request.""","""Request time off,Leave request form,Employee portal""","""What is annual leave?""","""2022-02-03""","""TRAIN"""
"149","""Who should I contact for IT support?""","""Pay Stubs""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Request time off,Leave request form,Employee portal""","""How do I submit a leave request?""","""2024-02-05""","""TRAIN"""
"150","""What is the procedure for performance reviews?""","""Performance Reviews""","""Our company offers health insurance, retirement plans, and various employee perks.""","""IT support,Helpdesk,Contact IT""","""How do I get IT help?""","""2023-06-16""","""TRAIN"""
"151","""What is the process for reporting workplace harassment?""","""Employment Verification""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Request time off,Leave request form,Employee portal""","""How do I submit a leave request?""","""2021-02-04""","""TEST"""
"152","""What is the company's policy on remote work?""","""Employee Benefits""","""To request time off, please submit a leave request form through the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""What are the employee perks?""","""2020-06-15""","""TRAIN"""
